"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"D-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V10";"7flkk";"D-R4";"Fjölnir 4";"Þróttur R 5";"4"
"D-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V10";"7flkk";"D-R4";"Grindavík 3";"Fjölnir 4";"4"
"D-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V10";"7flkk";"D-R4";"Fjölnir 4";"Skallagrímur 2";"4"
"D-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V7";"7flkk";"D-R2";"Fjölnir 5";"Haukar 2";"5"
"D-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V7";"7flkk";"D-R2";"Fylkir 4";"Fjölnir 5";"5"
"D-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V8";"7flkk";"D-R2";"Fjölnir 5";"Vestri 1";"5"
"D-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V7";"7flkk";"D-R2";"Stjarnan 8";"Fjölnir 5";"5"
"E-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V16";"7flkk";"E-R3";"Fjölnir 6";"KA 4";"6"
"E-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V16";"7flkk";"E-R3";"ÍBV 4";"Fjölnir 6";"6"
"E-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V15";"7flkk";"E-R3";"Fjölnir 6";"Stjarnan 11";"6"
"E-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V15";"7flkk";"E-R3";"Afturelding 5";"Fjölnir 6";"6"
"E-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V14";"7flkk";"E-R2";"Grindavík 5";"Fjölnir 7";"7"
"E-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V14";"7flkk";"E-R2";"Fjölnir 7";"KR 8";"7"
"E-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V14";"7flkk";"E-R2";"Haukar 3";"Fjölnir 7";"7"
"E-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V14";"7flkk";"E-R2";"Fjölnir 7";"Njarðvík 4";"7"
"F-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V18";"7flkk";"F-R5";"Fram 3";"Fjölnir 8";"8"
"F-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V18";"7flkk";"F-R5";"Fjölnir 8";"Afturelding 6";"8"
"F-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V18";"7flkk";"F-R5";"Þróttur R 7";"Fjölnir 8";"8"
"F-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V18";"7flkk";"F-R5";"Fjölnir 8";"HK 4";"8"
"F-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V13";"7flkk";"F-R1";"Fjölnir 9";"HK 5";"9"
"F-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V13";"7flkk";"F-R1";"Valur 6";"Fjölnir 9";"9"
"F-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V14";"7flkk";"F-R1";"Fjölnir 9";"KR 9";"9"
"F-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V13";"7flkk";"F-R1";"Breiðablik 11";"Fjölnir 9";"9"
